B,rollout,train_group,chunk_id,total_tokens,num_microbatches,fwd_bwd_s,chunk_total_s,end_ts
64,11,2,8,142999,16,12.1670,15.1300,1789847037.5066
64,11,2,9,124606,16,11.4230,13.9180,1789847052.5783
64,11,2,10,165504,16,12.6200,15.6510,1789847070.4898
64,11,2,11,135188,16,10.8600,13.5020,1789847086.2258
64,11,2,12,174561,16,14.8370,18.1820,1789847105.6388
64,11,2,13,263224,16,21.6930,26.8450,1789847133.8012
64,11,2,14,136245,8,11.1650,13.7660,1789847148.9035
64,11,2,15,127731,8,11.2700,13.6650,1789847163.9831
64,12,2,1,356634,32,28.1710,35.0640,1789847700.3123
64,12,2,2,217995,16,17.7140,21.8420,1789847723.6925
64,12,2,3,173755,8,15.1400,18.4790,1789847743.8539
64,13,2,1,103085,16,8.8900,11.0750,1789848235.0802
64,13,2,2,411020,32,35.6810,43.5570,1789848284.3675
64,13,2,3,192089,16,16.6660,20.3470,1789848305.9421
64,13,2,4,127202,8,10.1400,12.5080,1789848319.8946
64,14,2,1,356215,32,29.5870,36.4100,1789848884.5674
64,14,2,2,448080,32,37.1900,45.8480,1789848932.6421
64,14,2,3,128565,8,10.3000,12.7350,1789848946.7326
64,15,2,1,51460,11,4.6960,5.9400,1789849296.7519
64,15,2,2,99423,16,8.2590,10.3320,1789849308.2407
64,15,2,3,101801,16,8.2120,10.2370,1789849319.7474
64,15,2,4,101485,16,8.4100,10.4660,1789849331.3453
64,15,2,5,91678,16,7.6570,9.5660,1789849342.1108
64,15,2,6,163829,16,13.8530,16.9770,1789849360.2846
64,15,2,7,175542,16,13.6850,16.9920,1789849378.4622
64,15,2,8,297276,32,24.3440,29.9560,1789849409.7145
64,15,2,9,166608,16,14.5650,17.7750,1789849428.7767
64,15,2,10,94949,8,7.8590,9.5990,1789849439.5857
64,15,2,11,52885,8,4.8750,6.0200,1789849446.9290
64,16,2,1,20045,6,2.3600,3.3360,1789849706.7066
64,16,2,2,23362,7,2.6420,3.3570,1789849711.1701
64,16,2,3,28466,8,2.8910,3.7030,1789849716.0256
64,16,2,4,34775,11,3.7960,4.9050,1789849721.9883
64,16,2,5,34535,11,3.8380,4.9470,1789849728.0043
64,16,2,6,43217,14,4.9020,6.3320,1789849735.4106
64,16,2,7,41910,14,4.7600,6.1710,1789849742.6520
64,16,2,8,41641,13,4.4370,5.9050,1789849749.6634
64,16,2,9,42178,13,4.3960,5.6800,1789849756.4185
64,16,2,10,56817,16,5.5610,7.1750,1789849764.7531
64,16,2,11,64591,16,5.8040,7.6110,1789849773.5128
64,16,2,12,73993,16,6.7040,8.3550,1789849782.9856
64,16,2,13,80523,16,6.5260,8.2470,1789849792.3875
64,16,2,14,97332,16,7.5980,9.4840,1789849803.0948
64,16,2,15,90133,16,6.9710,8.6940,1789849812.8708
64,16,2,16,59513,13,4.9390,6.2540,1789849820.1898
64,16,2,17,82382,15,7.2900,9.0180,1789849830.2816
64,16,2,18,96405,16,7.7830,9.6780,1789849841.0352
64,16,2,19,134011,16,10.2730,12.7980,1789849855.0060
64,16,2,20,93586,16,7.8570,9.8410,1789849866.0584
64,16,2,21,78828,15,7.1310,8.8900,1789849876.1017
64,16,2,22,132451,16,10.5300,13.0050,1789849890.3049
64,16,2,23,162395,16,12.3330,15.2960,1789849906.8531
64,16,2,24,188348,16,16.6110,20.2020,1789849928.3558
64,16,2,25,144997,16,11.6240,14.3050,1789849943.9784
64,16,2,26,287016,32,23.2340,28.8790,1789849974.1226
64,16,2,27,445744,32,37.0230,45.7040,1789850021.1648
64,17,2,1,99536,15,8.1960,10.4040,1789850523.3123
64,17,2,2,162963,16,12.5600,15.6040,1789850540.2065
64,17,2,3,142806,16,12.0670,14.9070,1789850556.3812
64,17,2,4,168127,16,13.7730,16.9100,1789850574.4959
64,17,2,5,205429,16,18.5020,22.4670,1789850598.2737
64,17,2,6,457256,32,38.4290,47.2940,1789850646.9154
64,17,2,7,222123,16,18.9520,23.3330,1789850671.4171
64,17,2,8,263476,16,23.8330,28.9340,1789850701.8216
64,18,2,1,54441,14,4.6280,5.9130,1789851075.0692
64,18,2,2,58438,16,5.4370,6.9120,1789851083.0166
64,18,2,3,56114,15,5.0590,6.4490,1789851090.6553
64,18,2,4,96220,16,8.1240,10.1500,1789851101.9558
